Obciążenie [g],Pomiar 1 [R],Pomiar 3 [R],Pomiar 4 [R],Pomiar 5 [R],Pomiar 6 [R],Pomiar 7 [R],Średnia,Średnia 4 z 6 [R],K,y,x0
0,3400,,,,,,"3400,00","-850,00",30000,10,0
26,880,1600,1300,780,760,688,"1001,33","930,00","1163,846154",,
67,255,680,530,420,330,550,"460,83","457,50","457,761194",,
110,190,490,320,300,200,275,"295,83","273,75","282,7272727",,
160,120,330,250,170,150,175,"199,17","186,25","197,5",,
206,100,260,170,145,124,158,"159,50","149,25","155,631068",,
276,75,175,145,130,110,106,"123,50","122,75","118,6956522",,
329,62,145,106,95,88,70,"94,33","89,75","101,1854103",,
421,54,130,102,89,76,60,"85,17","81,75","81,25890736",,
544,40,100,68,66,52,"44,5","61,75","57,63","65,14705882",,
808,"33,4",76,60,55,44,33,"50,23","48,10","47,12871287",,
1062,30,56,48,45,33,"25,5","39,58","39,00","38,24858757",,
1580,24,40,39,33,27,"19,5","30,42","30,75","28,98734177",,
2098,21,35,34,30,25,"16,9","26,98","27,50","24,2993327",,
2616,"16,2",20,27,"23,5",23,"12,8","20,42","20,68","21,46788991",,
