Obciążenie [g],Pomiar 1 [R],Pomiar 2 [R],Pomiar 3 [R],Pomiar 4 [R],Pomiar 5 [R],Pomiar 6 [R],Średnia [R],Średnia 4 z 6 [R],K,y,x0
0,,,,,,,,"0,00",30000,10,0
26,1600,1800,1050,1000,1350,900,"1283,33","1250,00","1163,846154","930,00","320,00"
67,740,950,444,530,520,380,"594,00","558,50","457,761194","457,50","101,00"
110,500,670,480,280,310,240,"413,33","392,50","282,7272727","273,75","118,75"
160,380,450,310,200,220,200,"293,33","277,50","197,5","186,25","91,25"
206,260,280,150,160,132,115,"182,83","175,50","155,631068","149,25","26,25"
276,160,200,145,133,105,100,"140,50","135,75","118,6956522","122,75","13,00"
329,130,160,120,110,99,80,"116,50","114,75","101,1854103","89,75","25,00"
421,90,140,86,94,73,64,"91,17","85,75","81,25890736","81,75","4,00"
544,80,112,52,70,62,40,"69,33","66,00","65,14705882","57,63","8,38"
808,42,70,44,45,40,33,"45,67","42,75","47,12871287","48,10","-5,35"
1062,36,43,28,28,32,24,"31,83","31,00","38,24858757","39,00","-8,00"
1580,28,30,20,20,22,18,"23,00","22,50","28,98734177","30,75","-8,25"
2098,22,26,15,16,17,15,"18,50","17,50","24,2993327","27,50","-10,00"
2616,"18,2",17,11,10,14,12,"13,70","13,50","21,46788991","20,68","-7,18"
